﻿Assessment Instrument,Assessment Instrument Version,Item ID,Question Text,Section Name,Skip Pattern Trigger,Lookback Period,Item Uses,Item Subsets,Assessment Response Codes,Response Text,Copyright Indicator
OASIS,E-012023,GG0130E4,"Shower/bathe self: The ability to bathe self, including washing, rinsing, and drying self (excludes washing of back and hair). Does not include transferring in/out of tub/shower.",Section GG. Functional Abilities and Goals,N,0,,FU,,,N
OASIS,E-012023,GG0130F1,"Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130F2,"Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130F3,"Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,,DC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130F4,"Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable.",Section GG. Functional Abilities and Goals,N,0,,FU,,,N
OASIS,E-012023,GG0130G1,"Lower body dressing: The ability to dress and undress below the waist, including fasteners; does not include footwear. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130G2,"Lower body dressing: The ability to dress and undress below the waist, including fasteners; does not include footwear. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130G3,"Lower body dressing: The ability to dress and undress below the waist, including fasteners; does not include footwear. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,,DC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130G4,"Lower body dressing: The ability to dress and undress below the waist, including fasteners; does not include footwear",Section GG. Functional Abilities and Goals,N,0,,FU,,,N
OASIS,E-012023,GG0130H1,"Putting on/taking off footwear: The ability to put on and take off socks and shoes or other footwear that is appropriate for safe mobility; including fasteners, if applicable. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130H2,"Putting on/taking off footwear: The ability to put on and take off socks and shoes or other footwear that is appropriate for safe mobility; including fasteners, if applicable. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130H3,"Putting on/taking off footwear: The ability to put on and take off socks and shoes or other footwear that is appropriate for safe mobility; including fasteners, if applicable. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,,DC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0130H4,"Putting on/taking off footwear: The ability to put on and take off socks and shoes or other footwear that is appropriate for safe mobility; including fasteners, if applicable.",Section GG. Functional Abilities and Goals,N,0,,FU,,,N
OASIS,E-012023,GG0170,Mobility,Section GG. Functional Abilities and Goals,N,0,,DC|FU|ROC|SOC,,,N
OASIS,E-012023,GG0170_1,"Mobility. Code the patient's usual performance at SOC/ROC for each activity using the 6-point scale. If activity was not attempted at SOC/ROC, code the reason.",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC,,,N
OASIS,E-012023,GG0170_2,"Mobility. Code the patient's discharge goal(s) using the 6-point scale. Use of codes 07, 09, 10, or 88 is permissible to code discharge goal(s).",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC,,,N
OASIS,E-012023,GG0170_3,"Mobility. Code the patient's usual performance at discharge for each activity using the 6-point scale. If an activity was not attempted at discharge, code the reason.",Section GG. Functional Abilities and Goals,N,0,,DC,,,N
OASIS,E-012023,GG0170_4,Mobility. Code the patient's usual performance at Follow-up for each activity using the 6-point scale. If activity was not attempted at Follow-up code the reason.,Section GG. Functional Abilities and Goals,N,0,,FU,,,N
OASIS,E-012023,GG0170A1,"Roll left and right: The ability to roll from lying on back to left and right side, and return to lying on back on the bed. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170A2,"Roll left and right: The ability to roll from lying on back to left and right side, and return to lying on back on the bed. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170A3,"Roll left and right: The ability to roll from lying on back to left and right side, and return to lying on back on the bed. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,,DC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170A4,"Roll left and right: The ability to roll from lying on back to left and right side, and return to lying on back on the bed. - Follow-up Performance",Section GG. Functional Abilities and Goals,N,0,,FU, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170B1,Sit to lying: The ability to move from sitting on side of bed to lying flat on the bed. - Admission Performance,Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170B2,Sit to lying: The ability to move from sitting on side of bed to lying flat on the bed. - Discharge Goal,Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC, -|01|02|03|04|05|06|07|09|10|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170B3,Sit to lying: The ability to move from sitting on side of bed to lying flat on the bed. - Discharge Performance,Section GG. Functional Abilities and Goals,N,0,QM,DC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170B4,Sit to lying: The ability to move from sitting on side of bed to lying flat on the bed. - Follow-up Performance,Section GG. Functional Abilities and Goals,N,0,QM,FU, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170C1,Lying to sitting on side of bed: The ability to move from lying on the back to sitting on the side of the bed with no back support. - Admission Performance,Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170C2,Lying to sitting on side of bed: The ability to move from lying on the back to sitting on the side of the bed with no back support. - Discharge Goal,Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
